IPA	Substitute
ðal	ð
dɔ	d
dð	d
dð	ð
de	d
də	d
deˑ	d
d̪ə	d̪
dʱa	dʱ
dʱɔ	dʱ
di	d
ɗiˑ	ɗ
dj	d
dⁿ	dⁿ
ʤna	Syll
do	d
dr	d
ds’	d
ds’	s
dsʱ	d
dsʱ	s
du	d
dʷ	dʷ
dw	dʷ
ðw	ðw
dz	dz
ǳ	dz
dz	dz
d͡z	dz
d͡ʑ	dʑ
dz~z	dz
dz~z	z
dza	dz
dzʶ	dz
dʒ	dʒ
d͡ʒ	dʒ
dʒa	dʒ
dʒʱ	dʒʱ
ɖ	ɖ
ɖa	ɖ
ɖɔ	ɖ
ɖɖ	ɖ
ɖə	ɖ
ɖʱ	ɖʱ
ɖʱa	ɖʱ
e	e
e	e
eˤˑ	eˤ
é	e
ë	e
ẽ	e
ə	ə
e(ː)	eː
e\xf8	NA
e~ɛ	e
e~ɛ	ɛ
ə~ı	ə
ə~ı	ı
eː	eː
eː	eː
ẽː	eː
ea	ea
eə	eə
ef	Syll
eff	Syll
əh	Syll
ei	ei
ei̭	ei
əi	əi
ej	ej
ẽj	ej
əj	əj
ek	Syll
el	Syll
ell	Syll
em	Syll
emm	Syll
en	Syll
əⁿ	ə
enn	Syll
eŋ	Syll
əŋ	Syll
eo	eo
eø	eo
ep	Syll
er	Syll
err	Syll
es	Syll
es’	Syll
ess	Syll
Ęsь	Syll
et	Syll
eu	eu
eṷ	eu
əu	əu
ev	Syll
əw	əw
əy	əy
ɛ	ɛ
ɛ̃	ɛ̃
ɛ~æ	ɛ
ɛ~æ	æ
ɛ~e	ɛ
ɛ~e	e
ɛf	Syll
ɛi̭	ɛi
ɛm	Syll
ɛn	Syll
ɛo	ɛo
ɛṷ	ɛu
f	f
f	f
f~ɸ	f
f~ɸ	ɸ
fː	fː
fa	f
fa	f
fˠ	fˠ
fiˑ	f
g	g
g	g
g̊	g
ɠ	ɠ
ɡ̊	ɡ̊
g~ɣ	g
g~ɣ	ɣ
g~k	g
g~k	k
ɣ~ʁ	ɣ
ɣ~ʁ	ʁ
ga	g
ga	g
gá	g
ɣam	Syll
ɡ͡b	NA
gbr	NA
gɔ	g
gə	g
geˑ	g
ggl	Syll
gʰ	g
gʱa	g
gʱɒ	g
gʱɔ	g
gʰə	g
ɠiˑ	ɠ
gʲ	g
ɡʲ	ɡ
ɡja	ɡʲ
gᵑ	g
ɡ̊s	NA
gu	g
gw	g
ɡʷe	ɡʷ
gz	NA
h	h
h	h
ħ	ħ
ḥ	h
h~f	h
h~f	f
ʜ~ħ	ʜ
ʜ~ħ	ħ
ħ~h	ħ
ħ~h	h
ħ~ʜ	ħ
ħ~ʜ	ʜ
h~x	h
h~x	x
ha	h
ha	h
há	h
ħaˑ	ħ
ɦa	ɦ
hɑː	h
hai	h
hau	h
hɔ	h
hə	h
heˑ	h
hj	hʲ
hl	NA
hm	NA
hn	NA
hŋ	NA
ho	h
hoː	h
hr	NA
ʰtl	NA
ħu	ħ
hv	hv
hʷ	hʷ
ħʷ	ħʷ
i	i
i	i
I	I
-ĭ	I
ĩ	I
i:	i:
i;ɨ	i:
i;ɨ	ɨ
ɨ~ǝ	ɨ
ɨ~ǝ	ǝ
i~ɪ	i
i~ɪ	ɪ
ɪ~ĭ	ɪ
ɪ~ĭ	I
iː	i:
iː	i:
ĩː	i:
iː~j	i:
iː~j	j
iːː	i:
iːu	iːu
ia	ia
i̭a	ia
Iɒː	NA
iaŋ	Syll
iaʔ	Syll
iɔ̃	iɔ
i̭ɔ	i̭ɔ
Iɔː	NA
ie	ie
iə	iə
i̭e	ie
iəm	Syll
iən	Syll
ieŋ	Syll
iəŋ	Syll
iəp	Syll
iət	Syll
ieu	NA
ieʔ	Syll
ɪɛ	ɪɛ
i̭ɛ	iɛ
ijə	NA
ijo	NA
ik	i
ikks	i
ɪks	ɪ
im	i
in	i
iŋ	i
io	io
i̭o	io
ioŋ	Syll
ioʔ	Syll
ip	Syll
it	Syll
iu	iu
iw	NA
j	j
j	j
j:	j:
j\xe6	NA
j~iː	j
j~iː	i:
ja	ja
ja	ja
já	ja
jɑ	j
jaˑ	j
ja,a	j
ja:	j
jæ	jæ
jɔ	jɔ
jɔˑ	jɔ
ɟɔ	jɔ
je	je
jə	j
jeˑ	j
je,e	j
jer	Syll
jɛ̃	j
ji	j
jiˑ	j
jo	jo
joˑ	jo
jo,o	jo
jott	Syll
ju	ju
juˑ	ju
ju,u	ju
jʌ	j
jy	j
k	k
k	k
k'	k
k'	k
k*	k
k,g	k
k,g	g
k~c	k
k~c	c
k~g	k
k~g	g
k’	k
ka	k
ka	k
ká	k
kaː	k
kaˑf	syll
kai	k
kɐj	k
kan	syll
kaŋ	syll
kar	syll
kau	k
kɐw	k
kɔ	k
kɔː	k
ke	k
kə	k
keˑ	k
kea	k
kəh	k
kəŋ	syll
kəu	k
kʰ	kʰ
kh	kʰ
kʰ~k	kʰ
kʰ~k	k
kʰa	kʰ
kʰɔ	kʰ
kʰə	kʰ
ki	k
kiː	k
kj	kʲ
kʲʼ	kʲ
kja	kʲ
ko	k
koː	k
kp	kp
k͡p	kp
kpr	kpr
kɽi	NA
ks	NA
k͡s	NA
ksʲi	NA
ku	k
kṷ	k
kv	NA
kʷ	kʷ
kw	kʷ
kʷe	kʷ
kx	kx
kx’	kx
ky	k
l	l
l	l
ł	ł
l̥	l̥
l(ː)	l:
l~ɫ	l
l~ɫ	ɫ
la	l
la	l
lá	l
ɬa	ɫ
la:	l
laː	l
lam	syll
laˑm	syll
lɔ	l
ld	ld
lə	l
ɬe	ɫ
lʱ	lʱ
lj	lʲ
ll	l
ɬo	ɫ
ɬu	ɫ
m	m
m	m
m̥	m̥
mˤ	mˤ
ma	m
ma	m
má	m
malti	Syll
ᵐb	mb
mᵇ	mb
mb	mb
m͡b	mb
mba	mb
mɔ	m
mɔː	m
me	m
mə	m
ɯəm	Syll
ɯəp	Syll
ɯət	Syll
mˠː	mˠː
m͡gb	NA
mi	m
miˑm	m
mja	m
mjo	m
ɯk	ɯ
mm̥	m
ɯn	ɯ
ɯŋ	ɯ
mo	m
mp	mp
ᵐp	mp
mpɔ	mp
ɯt	ɯ
mu	m
mum	syll
ᶬv	mv
m͡v	mv
mw	mʷ
n	n
n	n
n̥	n̥
n̼	n
n,ɲ	n
n,ɲ	ɲ
n.g	NA
n~ŋ	n
n~ŋ	ŋ
na	n
na	n
ná	n
naʂ	Syll
nɔ	n
ɲc	ɲc
nɔː	n
ɲcɔ	Syll
nᵈ	nd
nd	nd
ⁿd	ⁿd
ᶮʤ	ⁿd̠ʒ
n͡d	nd
nda	nd
ⁿdr	Syll
ⁿdz	ⁿdz
n͡dz	ⁿdz
nə	n
ng	Syll
ɲĩ	ɲ
nin	n
nn̥	n
ɴq	ɴq
nrɔ	nr
ns	ns
nt	nt
ⁿt	nt
n̩t	nt
nu	n
nuˑn	n
nz	nz
ⁿz	nz
ŋ	ŋ
ŋ	ŋ
ŋ̊	ŋ̊
ŋa	ŋ
ŋa	ŋ
ŋɔ	ŋ
ŋe	ŋ
ŋə	ŋ
ᵑg	ŋ
ŋg	ŋ
ŋ̍g	ŋ
ŋga	ŋ
ŋgʷ	ŋ
ᵑk	ŋk
ŋk	ŋk
ŋ̍k	ŋk
ŋkɔ	ŋk
ŋkʷ	ŋk
ŋm	ŋm
ŋʷ	ŋʷ
o	o
o	o
ó	o
õ	õ
ɵ	ɵ
ɵ	ɵ
ø	ø
ø	ø
Ø	ø
Ø	ø
øˑ	ø
o(ː)	o:
o:	o:
o;u	o
o;u	u
o~ɔ	o
o~ɔ	ɔ
o~oː	o
o~oː	o:
ø~œ	ø
ø~œ	œ
Ø~t	Ø
Ø~t	t
o~u	o
o~u	u
õ~ũ	õ
õ~ũ	ũ
oː	o:
oː	o:
õː	õː
oˤː	oˤː
oːi	oːi
œ	œ
œ	œ
oə	oə
œː	œː
œi	œi
œu	œu
œy	œy
oi	oi
oi̭	oi
oj	oj
oj	oj
õj	õj
om	o
on	o
oŋ	o
op	o
Ǫsь	NA
ot	o
ou	ou
ouɐ	NA
ow	ow
owa	ow
owha	ow
øy	øy
p	p
p	p
p'	p
p'	p
pʼ	p
p*	p
p~b	p
p~b	b
p~f	p
p~f	f
ɸ~p	ɸ
ɸ~p	p
p’	p
pa	p
pa	p
pá	p
pɔ	p
pɔː	p
pe	p
pə	p
peː	p
pf	pf
pʰ	pʰ
ph	pʰ
pʰː	pʰː
pʰa	pʰ
pʰɔ	pʰ
pʰə	pʰ
pʰi	pʰ
pi	p
piˑ	p
pja	pʲ
pju	pʲ
po	p
ps	ps
p͡s	ps
psʲi	ps
pu	p
pw	NA
q	q
q	q
qʼ	q
q’	q
qʷ	qʷ
qʷʼ	qʷ
r	r
r	r
ṛ	r
r̥	r̥
r(ˑ)	r
r;l	r
r;l	l
r~l	r
r~l	l
r~ɾ	r
r~ɾ	ɾ
r~rˤ	r
r~rˤ	rˤ
ʀ~x	ʀ
ʀ~x	x
ra	r
ra	r
rɔ	r
rɔː	r
rd	NA
rə	r
reˑ	r
ʁeˑ	ʁ
rʰ	rʰ
ri	r
ri	r
ro	r
ru	r
rʒ	r
s	s
s	s
s'	s
-s	s
ʃ	ʃ
s*	s
s.h	NA
s;ɕ	s
s;ɕ	ɕ
s~k	s
s~k	k
s~ʃ	s
s~ʃ	ʃ
sˁ~s	sˁ
sˁ~s	s
ʃ~s	ʃ
ʃ~s	s
s~z	s
s~z	z
s’	s
sː	sː
sː̲	sː
sa	s
sa	s
sá	s
ʃaˑ	ʃ
sɔ	s
se	s
sə	s
seː	s
sʰ	sʰ
sʰː	sʰ:
siˑn	Syll
ʃiz	Syll
so	s
ʃp	NA
ß	s
st	st
ʃtʃ	NA
su	s
suomi	NA
sw	sʷ
t	t
t	t
t'	t
t'	t
tʼ	t
t̪	t̪
ʧ'	t̠ʃ̰
ʧ͡	t̠ʃ̰
t*	t
ʧ*	t̠ʃ̰
ʧ~c	t̠ʃ̰
ʧ~c	c
t~d	t
t~d	d
t~s	t
t~s	s
tˁ~t	tˁ
tˁ~t	t
t~tʃ	t
t~tʃ	t̠ʃ̰
t’	t
ʧ’	t̠ʃ̰
ta	t
ta	t
tá	t
tæk	Syll
tɔ	t
t͡ɕ	tɕ
tɔː	t
tçi	t
te	t
tə	t
t̪ə	t̪
teː	t
tʰ	tʰ
th	tʰ
ʧh	NA
ʈʰa	tʰ
tʰɔ	tʰ
Thita	NA
ti	t
tiˑ	t
tj	tʲ
tl̥	tl
t̥l	tl
to	t
tr	tr
ts	ts
ts	ts
t͡s	ts
ts'	tsʼ
t͡s'	tsʼ
ts’	tsʼ
tsa	ts
tsa	ts
tʃa	t̠ʃ̰
tset	ts
tsʰ	tsʰ
tsʰa	tsʰ
tu	t
tw	tʷ
tz	NA
tθ	t̪θ
t͡θ	t̪θ
tθʰ	t̪θ
tᵡ	t
u	u
u	u
u	u
u	u
ũ	ũ
ṳ	u
ṷ	u
u:	u:
u~o	u
u~o	o
u~ʊ	u
u~ʊ	ʊ
ʊ~u	ʊ
ʊ~u	u
uː	u:
uː	u:
ũː	ũ:
ṳː	u:
uːː	u:
ua	ua
ṷa	ua
uai	uai
uaŋ	ua
uaʔ	ua
ue	ue
ṷe	ue
uəm	uə
uən	uə
uəŋ	uə
uəp	uə
uət	uə
ui	ui
uiː	ui:
uj	uj
ũj	uj
uk	u
um	u
un	u
uŋ	u
uo	uo
uoŋ	uo
uoʔ	uo
up	u
ut	u
v	v
v	v
v̥	v̥
ʋ;w	ʋ
ʋ;w	w
v~f	v
v~f	f
v~w	v
v~w	w
ʋ~w	ʋ
ʋ~w	w
vɔ	v
ve	v
və	v
veˑ	v
vˠ	vˠ
vʰʲ	vʲ
viˑ	v
vo	v
ʌy	ʌy
w	w
w	w
-ʷ	NA
w̃	w̃
wˁ	wˀ
w:	w:
w\xe3	NA
w\xe6	NA
w~u	w
w~u	u
w~uː	w
w~uː	u:
w~v	w
w~v	v
w~ʋ	w
w~ʋ	ʋ
wa	wa
wa	wa
wá	wa
wã	wa
wæ	wæi
wæ͂	wæi
wɔ	wɔ
wɔː	wɔː
we	we
wə	wə
weˑ	we
wɜ͂	w
wi	wi
wiˑ	wi
wo	wo
wu	wo
x	x
x	x
x~ç	x
x~ç	ç
x~h	x
x~h	h
x~χ	x
x~χ	χ
xa	x
xaˑ	x
xʲer	Syll
xs	NA
xʷ	xʷ
xʷ	xʷ
y	y
y	y
ỹ	ỹ
yˑ	y
y~ʏ	y
y~ʏ	ʏ
yi̭	yi̯
z	z
z	z
ẕˁ	z
z~ʤ	z
z~ʤ	ʤ
za	z
za	z
zá	z
ze	z
zeˑ	z
zet̪	Syll
zɛt	Syll
zʷ	zʷ
ʒ	ʒ
ʒ	ʒ
ʒe	ʒ
ʒeˑ	ʒ
ʒʷ	ʒʷ
ʔ	ʔ
ʡ~я	ʔ
ʔb	ʔ
ʔd	ʔ
ʔḭ	ʔ
ʔjo	ʔ
ʔju	ʔ
ʔu˨	ʔ
β	β
β	β
β~v	β
β~v	v
βʷ	βʷ
γ	γ
δ	δ
ε	ε
θ	θ
θ	θ
θ~s	θ
θ~s	s
θa	θ
λ	λ
χ	χ
χ	χ
χ~x	χ
χ~x	x
χː	χː
χaˑ	χ
ћ	ћ
